Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT04372602	Duvelisib to Combat COVID-19		Recruiting	No Results Available	COVID-19	Drug: Duvelisib|Procedure: Peripheral blood draw|Drug: Placebo	Overall survival|Length of hospital stay|Length of ICU stay|Duration of ventilator use|Duration of vasopressors use|Duration on renal replacement therapy|Viral kinetics as measured by virologic failure|Number of adverse events as measured by CTCAE v. 5.0	Washington University School of Medicine|Verastem, Inc.	All	18 Years and older   (Adult, Older Adult)	Phase 2	28	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	202007009	October 12, 2020	November 30, 2021	April 30, 2022	May 4, 2020		November 9, 2020	Washington University School of Medicine, Saint Louis, Missouri, United States		https://ClinicalTrials.gov/show/NCT04372602
2	NCT04364698	Observational Cohort of COVID-19 Patients at Raymond-Poincare	COVID-RPC	Recruiting	No Results Available	COVID-19		clinical, biological and radiological characteristics|patients' journey description|Treatments effects	Assistance Publique - Hôpitaux de Paris	All	18 Years and older   (Adult, Older Adult)		500	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	20SBS-COVID-RPC	May 7, 2020	June 2020	June 2020	April 28, 2020		May 14, 2020	Department of Infectiology, Raymond Poincaré Hospital, APHP, Garches, France		https://ClinicalTrials.gov/show/NCT04364698
3	NCT04482621	Decitabine for Coronavirus (COVID-19) Pneumonia- Acute Respiratory Distress Syndrome (ARDS) Treatment: DART Trial	DART	Recruiting	No Results Available	COVID-19	Drug: Decitabine|Other: Placebo Saline	Change in clinical state as assessed by a 6-point ordinal scale|Safety as assessed by adverse events|Change in oxygenation index|Change in fraction of inspired oxygen|Time (days) to clinical improvement|Overall survival|Length of stay in hospital|Ventilator free days|Time to Polymerase chain reaction (PCR) negativity|Percentage of patients with National Early Warning Score 2 of 3 or more	Johns Hopkins University	All	18 Years and older   (Adult, Older Adult)	Phase 2	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	IRB00247544	September 14, 2020	May 2021	July 2021	July 22, 2020		September 25, 2020	Johns Hopkins University, Baltimore, Maryland, United States		https://ClinicalTrials.gov/show/NCT04482621
4	NCT04459637	COVID-19 Surveillance Based on Smart Wearable Device	COVID-19SWD	Not yet recruiting	No Results Available	COVID-19		Deterioration of the condition|Mortality|The information analysis degree, the proportion of signal loss, the proportion of wrong signal,	Peking University First Hospital	All	18 Years to 75 Years   (Adult, Older Adult)		200	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	2020055-0615	July 1, 2020	March 10, 2021	March 10, 2021	July 7, 2020		July 7, 2020	Peking University First Hospital, Beijing, Beijing, China		https://ClinicalTrials.gov/show/NCT04459637
5	NCT04425538	A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19).		Active, not recruiting	No Results Available	COVID-19	Drug: Infliximab	Time to improvement in oxygenation|28-day mortality|Assessment of cytokine and inflammatory profile at baseline and at 48 hours after therapy|Qualitative and quantitative toxicity|incidence and duration of supplemental oxygen administration|Incidence and duration of non-invasive ventilation or by non-rebreather mask or high-flow nasal cannula|Incidence and duration of mechanical ventilation|Incidence and duration of vasopressor support|Incidence and duration of extracorporeal membrane oxygenation|Duration of fever|Correlation of cytokine profile to clinical outcomes specified in primary and secondary objectives|Duration of hospitalization|Secondary infections	Tufts Medical Center|National Institutes of Health (NIH)	All	18 Years and older   (Adult, Older Adult)	Phase 2	17	Other|NIH	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	STUDY00000564	June 1, 2020	January 22, 2021	February 2021	June 11, 2020		January 14, 2021	Tufts Medical Center, Boston, Massachusetts, United States		https://ClinicalTrials.gov/show/NCT04425538
6	NCT04547257	Safety & Performance Evaluation of Seraph 100 in Treatment of Pts With COVID-19	CP022	Not yet recruiting	No Results Available	COVID-19	Device: Seraph 100	Change in Organ failure|Change in Organ Failure|All-cause mortality|Change in Viral load|Organ dysfunction-free days|ICU complications|Ventilator-free days (VFDs|Length of stay (LOS) at ICU|Prognosis Factors	ExThera Medical Europe BV|ExThera Medical Corporation	All	18 Years to 90 Years   (Adult, Older Adult)	Not Applicable	42	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CP022	February 1, 2021	August 15, 2021	October 15, 2021	September 14, 2020		January 6, 2021	Carla Kikken-Jussen, Vaals, Limburg, Netherlands		https://ClinicalTrials.gov/show/NCT04547257
7	NCT04454307	Safety and Efficacy of Tramadol in COVID-19 Egyptian Patients		Not yet recruiting	No Results Available	COVID-19	Drug: Tramadol|Other: Standard care delivered in the isolation hospitals.	Number of COVID-19 PCR negative cases	Tanta University	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 1|Phase 2	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment	TRAM/COVID19	July 2020	August 2020	October 2020	July 1, 2020		July 2, 2020			https://ClinicalTrials.gov/show/NCT04454307
8	NCT04452435	Safety and Efficacy of C21 in Subjects With COVID-19		Completed	No Results Available	COVID-19	Drug: C21|Drug: Placebo	Change from baseline in C-reactive protein (CRP) after treatment with C21 200 mg daily dose (100 mg b.i.d.)	Vicore Pharma AB|Orphan Reach	All	18 Years to 70 Years   (Adult, Older Adult)	Phase 2	106	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	VP-C21-006|2020-001502-38	July 21, 2020	October 13, 2020	October 13, 2020	June 30, 2020		October 20, 2020	Department of Medicine, Civil Hospital and B J Medical College, Ahmadabad, Gujarat, India|Infectious Disease, Metas Adventist Hospital, Surat, Gujarat, India|Clinical Research Department, Basement, Unity Trauma Centre and ICU (Unity Hospital, Surat, Gujarat, India|First Floor Clinical Research Department Rhythm Heart Institute, Vadodara, Gujarat, India|Internal Medicine S.L. Raheja Hospital, Mumbai, Maharashtra, India|Department of Medicine, Government Medical College and Hospital, Nagpur, Maharashtra, India|Neuro Critical Care, Grant Medical Foundation Ruby Hall Clinic, Pune, Maharashtra, India|Department of Medicine, Noble Hospitals Pvt. Ltd, Pune, Maharashtra, India|Respiratory Medicine, University College Hospital, London, United Kingdom		https://ClinicalTrials.gov/show/NCT04452435
9	NCT04333550	Application of Desferal to Treat COVID-19		Recruiting	No Results Available	COVID-19	Drug: Deferoxamine	Mortality rate|change in patients clinical manifestation|change in patients PaO2|Length of hospitalization|C-reactive protein|lymphocyte count|length of intensive care unit stay	Kermanshah University of Medical Sciences	All	3 Years to 99 Years   (Child, Adult, Older Adult)	Phase 1|Phase 2	50	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment	1398.1224	April 2020	September 2020	March 2021	April 3, 2020		May 4, 2020	Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of		https://ClinicalTrials.gov/show/NCT04333550
10	NCT04432987	Dornase Alpha for the Treatment of COVID-19		Recruiting	No Results Available	COVID-19	Drug: Pulmozyme	Response|Survival	Acibadem University|The Scientific and Technological Research Council of Turkey	All	18 Years and older   (Adult, Older Adult)	Phase 2	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	8820	May 25, 2020	August 25, 2020	September 25, 2020	June 16, 2020		June 16, 2020	Acıbadem Altunizade Hospital, Istanbul, Turkey		https://ClinicalTrials.gov/show/NCT04432987
